,russian_title,itm_title,ganers,rating,year
139,Магистр дьявольского культа 3,Mo Dao Zu Shi: Wanjie Pian,"['Экшен', 'Исторический', 'Демоны', 'Драма', 'Приключения', 'Фэнтези', 'Детектив', 'Реинкарнация']",8.5,2021
140,Гинтама: Сказание о Бэнидзакуре,Gintama Movie 1: Shinyaku Benizakura-hen,"['Экшен', 'Фантастика', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Сёнен']",8.5,2010
141,Граница пустоты 5: Спираль парадокса,Kara no Kyoukai Movie 5: Mujun Rasen / knk,"['Экшен', 'Детектив', 'Драма', 'Романтика', 'Сверхъестественное', 'Триллер']",8.5,2008
142,Призрак в доспехах: Синдром одиночки 2 сезон,Koukaku Kidoutai: Stand Alone Complex 2nd GIG / GitS: SAC 2,"['Экшен', 'Военное', 'Фантастика', 'Детектив', 'Полиция', 'Меха', 'Сейнен', 'Взрослые сейю']",8.5,2004
143,"Дальше, чем космос",Sora yori mo Tooi Basho / Yorimoi,"['CGDCT', 'Приключения', 'Комедия', 'Драма']",8.5,2018
144,Гинтама 6 сезон,Gintama.: Porori-hen,"['Экшен', 'Фантастика', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Сёнен', 'Гэг юмор']",8.5,2017
145,Самурай Чамплу,Samurai Champloo,"['Экшен', 'Приключения', 'Комедия', 'Исторический', 'Самураи']",8.5,2004
146,Могила светлячков,Hotaru no Haka,"['Драма', 'Исторический']",8.5,1988
147,Атака титанов 2 сезон,Shingeki no Kyojin Season 2 / AoT2,"['Экшен', 'Драма', 'Сёнен', 'Военное', 'Кровь', 'Выживание', 'Триллер']",8.5,2017
148,Обещанный Неверленд,Yakusoku no Neverland,"['Фэнтези', 'Фантастика', 'Детектив', 'Сёнен', 'Психологическое', 'Триллер', 'Выживание']",8.5,2019
149,Летнее время,Summertime Render,"['Триллер', 'Детектив', 'Сверхъестественное', 'Сёнен', 'Путешествие во времени']",8.5,2022
150,Озорная Такаги. Фильм,Karakai Jouzu no Takagi-san Movie,"['Школа', 'Сёнен', 'Ияшикей', 'Романтический подтекст']",8.5,2022
